Offset in HCU,PB MIDI1,PB Hex MIDI2,Delta PB MIDI1,Pitch from MIDI1,PB MIDI2,PB Hex MIDI2,Delta PB MIDI2,Pitch from MIDI2
167,15032,"0x3AB8",41,167,3940632494,"0xEAE147AE",10737419,167
168,15073,"0x3AE1",41,168,3951369912,"0xEB851EB8",10737418,168
169,15114,"0x3B0A",41,169,3962107330,"0xEC28F5C2",10737418,169
170,15155,"0x3B33",41,170,3972844748,"0xECCCCCCC",10737418,170
171,15196,"0x3B5C",41,171,3983582167,"0xED70A3D7",10737419,171
172,15237,"0x3B85",41,172,3994319585,"0xEE147AE1",10737418,172
173,15278,"0x3BAE",41,173,4005057003,"0xEEB851EB",10737418,173
174,15319,"0x3BD7",41,174,4015794421,"0xEF5C28F5",10737418,174
175,15360,"0x3C00",41,175,4026531840,"0xF0000000",10737419,175
176,15400,"0x3C28",40,175,4037269258,"0xF0A3D70A",10737418,176
177,15441,"0x3C51",41,176,4048006676,"0xF147AE14",10737418,177
178,15482,"0x3C7A",41,178,4058744094,"0xF1EB851E",10737418,178
179,15523,"0x3CA3",41,179,4069481512,"0xF28F5C28",10737418,178
180,15564,"0x3CCC",41,180,4080218931,"0xF3333333",10737419,180
181,15605,"0x3CF5",41,181,4090956349,"0xF3D70A3D",10737418,181
182,15646,"0x3D1E",41,182,4101693767,"0xF47AE147",10737418,182
183,15687,"0x3D47",41,183,4112431185,"0xF51EB851",10737418,182
184,15728,"0x3D70",41,184,4123168604,"0xF5C28F5C",10737419,184
185,15769,"0x3D99",41,185,4133906022,"0xF6666666",10737418,185
186,15810,"0x3DC2",41,186,4144643440,"0xF70A3D70",10737418,186
187,15851,"0x3DEB",41,187,4155380858,"0xF7AE147A",10737418,187
188,15892,"0x3E14",41,188,4166118277,"0xF851EB85",10737419,188
189,15933,"0x3E3D",41,189,4176855695,"0xF8F5C28F",10737418,189
190,15974,"0x3E66",41,190,4187593113,"0xF9999999",10737418,190
191,16015,"0x3E8F",41,191,4198330531,"0xFA3D70A3",10737418,191
192,16056,"0x3EB8",41,192,4209067950,"0xFAE147AE",10737419,192
193,16097,"0x3EE1",41,193,4219805368,"0xFB851EB8",10737418,193
194,16138,"0x3F0A",41,194,4230542786,"0xFC28F5C2",10737418,194
195,16179,"0x3F33",41,195,4241280204,"0xFCCCCCCC",10737418,195
196,16220,"0x3F5C",41,196,4252017623,"0xFD70A3D7",10737419,196
197,16261,"0x3F85",41,197,4262755041,"0xFE147AE1",10737418,197
198,16302,"0x3FAE",41,198,4273492459,"0xFEB851EB",10737418,198
199,16343,"0x3FD7",41,199,4284229877,"0xFF5C28F5",10737418,199
200,16383,"0x3FFF",40,200,4294967295,"0xFFFFFFFF",10737418,200
