Pitch Offset in HCU,PB MIDI1,PB Hex MIDI2,Delta PB MIDI1,Pitch Offset from MIDI1,PB MIDI2,PB Hex MIDI2,Delta PB MIDI2,Pitch Offset from MIDI2
-4772,48,"0x0030",1,-4772,12526988,"0x00BF258C",447392,-4772
-4771,50,"0x0032",2,-4771,12974381,"0x00C5F92D",447393,-4771
-4770,52,"0x0034",2,-4770,13421773,"0x00CCCCCD",447392,-4770
-4769,53,"0x0035",1,-4769,13869166,"0x00D3A06E",447393,-4769
-4768,55,"0x0037",2,-4768,14316558,"0x00DA740E",447392,-4768
-4767,57,"0x0039",2,-4767,14763951,"0x00E147AF",447393,-4767
-4766,59,"0x003B",2,-4766,15211343,"0x00E81B4F",447392,-4766
-4765,60,"0x003C",1,-4765,15658735,"0x00EEEEEF",447392,-4765
-4764,62,"0x003E",2,-4764,16106128,"0x00F5C290",447393,-4764
-4763,64,"0x0040",2,-4763,16553520,"0x00FC9630",447392,-4763
-4762,65,"0x0041",1,-4762,17000913,"0x010369D1",447393,-4762
-4761,67,"0x0043",2,-4761,17448305,"0x010A3D71",447392,-4761
-4760,69,"0x0045",2,-4760,17895698,"0x01111112",447393,-4760
-4759,70,"0x0046",1,-4759,18343090,"0x0117E4B2",447392,-4759
-4758,72,"0x0048",2,-4758,18790482,"0x011EB852",447392,-4758
-4757,74,"0x004A",2,-4757,19237875,"0x01258BF3",447393,-4757
-4756,76,"0x004C",2,-4756,19685267,"0x012C5F93",447392,-4756
-4755,77,"0x004D",1,-4755,20132660,"0x01333334",447393,-4755
-4754,79,"0x004F",2,-4754,20580052,"0x013A06D4",447392,-4754
-4753,81,"0x0051",2,-4753,21027445,"0x0140DA75",447393,-4753
-4752,82,"0x0052",1,-4752,21474837,"0x0147AE15",447392,-4752
-4751,84,"0x0054",2,-4751,21922229,"0x014E81B5",447392,-4751
-4750,86,"0x0056",2,-4750,22369622,"0x01555556",447393,-4750
-4749,88,"0x0058",2,-4749,22817014,"0x015C28F6",447392,-4749
-4748,89,"0x0059",1,-4748,23264407,"0x0162FC97",447393,-4748
-4747,91,"0x005B",2,-4747,23711799,"0x0169D037",447392,-4747
-4746,93,"0x005D",2,-4746,24159192,"0x0170A3D8",447393,-4746
-4745,94,"0x005E",1,-4745,24606584,"0x01777778",447392,-4745
-4744,96,"0x0060",2,-4744,25053976,"0x017E4B18",447392,-4744
-4743,98,"0x0062",2,-4743,25501369,"0x01851EB9",447393,-4743
-4742,99,"0x0063",1,-4742,25948761,"0x018BF259",447392,-4742
-4741,101,"0x0065",2,-4741,26396154,"0x0192C5FA",447393,-4741
-4740,103,"0x0067",2,-4740,26843546,"0x0199999A",447392,-4740
-4739,105,"0x0069",2,-4739,27290939,"0x01A06D3B",447393,-4739
-4738,106,"0x006A",1,-4738,27738331,"0x01A740DB",447392,-4738
-4737,108,"0x006C",2,-4737,28185723,"0x01AE147B",447392,-4737
-4736,110,"0x006E",2,-4736,28633116,"0x01B4E81C",447393,-4736
-4735,111,"0x006F",1,-4735,29080508,"0x01BBBBBC",447392,-4735
-4734,113,"0x0071",2,-4734,29527901,"0x01C28F5D",447393,-4734
-4733,115,"0x0073",2,-4733,29975293,"0x01C962FD",447392,-4733
-4732,117,"0x0075",2,-4732,30422686,"0x01D0369E",447393,-4731
-4731,118,"0x0076",1,-4731,30870078,"0x01D70A3E",447392,-4731
-4730,120,"0x0078",2,-4730,31317470,"0x01DDDDDE",447392,-4730
-4729,122,"0x007A",2,-4729,31764863,"0x01E4B17F",447393,-4729
-4728,123,"0x007B",1,-4728,32212255,"0x01EB851F",447392,-4728
-4727,125,"0x007D",2,-4727,32659648,"0x01F258C0",447393,-4727
-4726,127,"0x007F",2,-4726,33107040,"0x01F92C60",447392,-4726
-4725,128,"0x0080",1,-4725,33554432,"0x02000000",447392,-4725
-4724,130,"0x0082",2,-4724,34001825,"0x0206D3A1",447393,-4724
-4723,132,"0x0084",2,-4723,34449217,"0x020DA741",447392,-4723
-4722,134,"0x0086",2,-4722,34896610,"0x02147AE2",447393,-4722
-4721,135,"0x0087",1,-4721,35344002,"0x021B4E82",447392,-4721
-4720,137,"0x0089",2,-4720,35791395,"0x02222223",447393,-4720
-4719,139,"0x008B",2,-4719,36238787,"0x0228F5C3",447392,-4719
-4718,140,"0x008C",1,-4718,36686179,"0x022FC963",447392,-4718
-4717,142,"0x008E",2,-4717,37133572,"0x02369D04",447393,-4717
-4716,144,"0x0090",2,-4716,37580964,"0x023D70A4",447392,-4716
-4715,146,"0x0092",2,-4715,38028357,"0x02444445",447393,-4715
-4714,147,"0x0093",1,-4714,38475749,"0x024B17E5",447392,-4714
-4713,149,"0x0095",2,-4713,38923142,"0x0251EB86",447393,-4713
-4712,151,"0x0097",2,-4712,39370534,"0x0258BF26",447392,-4712
-4711,152,"0x0098",1,-4711,39817926,"0x025F92C6",447392,-4711
-4710,154,"0x009A",2,-4710,40265319,"0x02666667",447393,-4710
-4709,156,"0x009C",2,-4709,40712711,"0x026D3A07",447392,-4709
-4708,158,"0x009E",2,-4707,41160104,"0x02740DA8",447393,-4708
-4707,159,"0x009F",1,-4707,41607496,"0x027AE148",447392,-4707
-4706,161,"0x00A1",2,-4706,42054889,"0x0281B4E9",447393,-4706
-4705,163,"0x00A3",2,-4705,42502281,"0x02888889",447392,-4705
-4704,164,"0x00A4",1,-4704,42949673,"0x028F5C29",447392,-4704
-4703,166,"0x00A6",2,-4703,43397066,"0x02962FCA",447393,-4703
-4702,168,"0x00A8",2,-4702,43844458,"0x029D036A",447392,-4702
-4701,169,"0x00A9",1,-4701,44291851,"0x02A3D70B",447393,-4701
-4700,171,"0x00AB",2,-4700,44739243,"0x02AAAAAB",447392,-4700
-4699,173,"0x00AD",2,-4699,45186636,"0x02B17E4C",447393,-4699
-4698,175,"0x00AF",2,-4698,45634028,"0x02B851EC",447392,-4698
-4697,176,"0x00B0",1,-4697,46081420,"0x02BF258C",447392,-4697
-4696,178,"0x00B2",2,-4696,46528813,"0x02C5F92D",447393,-4696
-4695,180,"0x00B4",2,-4695,46976205,"0x02CCCCCD",447392,-4695
-4694,181,"0x00B5",1,-4694,47423598,"0x02D3A06E",447393,-4694
-4693,183,"0x00B7",2,-4693,47870990,"0x02DA740E",447392,-4693
-4692,185,"0x00B9",2,-4692,48318383,"0x02E147AF",447393,-4692
-4691,187,"0x00BB",2,-4691,48765775,"0x02E81B4F",447392,-4691
-4690,188,"0x00BC",1,-4690,49213167,"0x02EEEEEF",447392,-4690
-4689,190,"0x00BE",2,-4689,49660560,"0x02F5C290",447393,-4689
-4688,192,"0x00C0",2,-4688,50107952,"0x02FC9630",447392,-4688
-4687,193,"0x00C1",1,-4687,50555345,"0x030369D1",447393,-4687
-4686,195,"0x00C3",2,-4686,51002737,"0x030A3D71",447392,-4686
-4685,197,"0x00C5",2,-4685,51450130,"0x03111112",447393,-4685
-4684,198,"0x00C6",1,-4684,51897522,"0x0317E4B2",447392,-4684
-4683,200,"0x00C8",2,-4683,52344914,"0x031EB852",447392,-4683
-4682,202,"0x00CA",2,-4682,52792307,"0x03258BF3",447393,-4682
-4681,204,"0x00CC",2,-4681,53239699,"0x032C5F93",447392,-4681
-4680,205,"0x00CD",1,-4680,53687092,"0x03333334",447393,-4680
-4679,207,"0x00CF",2,-4679,54134484,"0x033A06D4",447392,-4679
-4678,209,"0x00D1",2,-4678,54581877,"0x0340DA75",447393,-4678
-4677,210,"0x00D2",1,-4677,55029269,"0x0347AE15",447392,-4677
-4676,212,"0x00D4",2,-4676,55476661,"0x034E81B5",447392,-4676
-4675,214,"0x00D6",2,-4675,55924054,"0x03555556",447393,-4675
-4674,216,"0x00D8",2,-4674,56371446,"0x035C28F6",447392,-4674
-4673,217,"0x00D9",1,-4673,56818839,"0x0362FC97",447393,-4673
-4672,219,"0x00DB",2,-4672,57266231,"0x0369D037",447392,-4672
-4671,221,"0x00DD",2,-4671,57713624,"0x0370A3D8",447393,-4671
-4670,222,"0x00DE",1,-4670,58161016,"0x03777778",447392,-4670
-4669,224,"0x00E0",2,-4669,58608408,"0x037E4B18",447392,-4669
-4668,226,"0x00E2",2,-4668,59055801,"0x03851EB9",447393,-4668
-4667,227,"0x00E3",1,-4667,59503193,"0x038BF259",447392,-4667
-4666,229,"0x00E5",2,-4666,59950586,"0x0392C5FA",447393,-4666
-4665,231,"0x00E7",2,-4665,60397978,"0x0399999A",447392,-4665
-4664,233,"0x00E9",2,-4664,60845371,"0x03A06D3B",447393,-4663
-4663,234,"0x00EA",1,-4663,61292763,"0x03A740DB",447392,-4663
-4662,236,"0x00EC",2,-4662,61740155,"0x03AE147B",447392,-4662
-4661,238,"0x00EE",2,-4661,62187548,"0x03B4E81C",447393,-4661
-4660,239,"0x00EF",1,-4660,62634940,"0x03BBBBBC",447392,-4660
-4659,241,"0x00F1",2,-4659,63082333,"0x03C28F5D",447393,-4659
-4658,243,"0x00F3",2,-4658,63529725,"0x03C962FD",447392,-4658
-4657,245,"0x00F5",2,-4657,63977118,"0x03D0369E",447393,-4656
-4656,246,"0x00F6",1,-4656,64424510,"0x03D70A3E",447392,-4656
-4655,248,"0x00F8",2,-4655,64871902,"0x03DDDDDE",447392,-4655
-4654,250,"0x00FA",2,-4654,65319295,"0x03E4B17F",447393,-4654
-4653,251,"0x00FB",1,-4653,65766687,"0x03EB851F",447392,-4653
-4652,253,"0x00FD",2,-4652,66214080,"0x03F258C0",447393,-4652
-4651,255,"0x00FF",2,-4651,66661472,"0x03F92C60",447392,-4651
-4650,256,"0x0100",1,-4650,67108864,"0x04000000",447392,-4650
-4649,258,"0x0102",2,-4649,67556257,"0x0406D3A1",447393,-4649
-4648,260,"0x0104",2,-4648,68003649,"0x040DA741",447392,-4648
-4647,262,"0x0106",2,-4647,68451042,"0x04147AE2",447393,-4647
-4646,263,"0x0107",1,-4646,68898434,"0x041B4E82",447392,-4646
-4645,265,"0x0109",2,-4645,69345827,"0x04222223",447393,-4645
-4644,267,"0x010B",2,-4644,69793219,"0x0428F5C3",447392,-4644
-4643,268,"0x010C",1,-4643,70240611,"0x042FC963",447392,-4643
-4642,270,"0x010E",2,-4642,70688004,"0x04369D04",447393,-4642
-4641,272,"0x0110",2,-4641,71135396,"0x043D70A4",447392,-4641
-4640,274,"0x0112",2,-4640,71582789,"0x04444445",447393,-4640
-4639,275,"0x0113",1,-4639,72030181,"0x044B17E5",447392,-4639
-4638,277,"0x0115",2,-4638,72477574,"0x0451EB86",447393,-4638
-4637,279,"0x0117",2,-4637,72924966,"0x0458BF26",447392,-4637
-4636,280,"0x0118",1,-4636,73372358,"0x045F92C6",447392,-4636
-4635,282,"0x011A",2,-4635,73819751,"0x04666667",447393,-4635
-4634,284,"0x011C",2,-4634,74267143,"0x046D3A07",447392,-4634
-4633,286,"0x011E",2,-4632,74714536,"0x04740DA8",447393,-4633
-4632,287,"0x011F",1,-4632,75161928,"0x047AE148",447392,-4632
-4631,289,"0x0121",2,-4631,75609321,"0x0481B4E9",447393,-4631
-4630,291,"0x0123",2,-4630,76056713,"0x04888889",447392,-4630
-4629,292,"0x0124",1,-4629,76504105,"0x048F5C29",447392,-4629
-4628,294,"0x0126",2,-4628,76951498,"0x04962FCA",447393,-4628
-4627,296,"0x0128",2,-4627,77398890,"0x049D036A",447392,-4627
-4626,297,"0x0129",1,-4626,77846283,"0x04A3D70B",447393,-4626
-4625,299,"0x012B",2,-4625,78293675,"0x04AAAAAB",447392,-4625
-4624,301,"0x012D",2,-4624,78741068,"0x04B17E4C",447393,-4624
-4623,303,"0x012F",2,-4623,79188460,"0x04B851EC",447392,-4623
-4622,304,"0x0130",1,-4622,79635852,"0x04BF258C",447392,-4622
-4621,306,"0x0132",2,-4621,80083245,"0x04C5F92D",447393,-4621
-4620,308,"0x0134",2,-4620,80530637,"0x04CCCCCD",447392,-4620
-4619,309,"0x0135",1,-4619,80978030,"0x04D3A06E",447393,-4619
-4618,311,"0x0137",2,-4618,81425422,"0x04DA740E",447392,-4618
-4617,313,"0x0139",2,-4617,81872815,"0x04E147AF",447393,-4617
-4616,315,"0x013B",2,-4615,82320207,"0x04E81B4F",447392,-4616
-4615,316,"0x013C",1,-4615,82767599,"0x04EEEEEF",447392,-4615
-4614,318,"0x013E",2,-4614,83214992,"0x04F5C290",447393,-4614
-4613,320,"0x0140",2,-4613,83662384,"0x04FC9630",447392,-4613
-4612,321,"0x0141",1,-4612,84109777,"0x050369D1",447393,-4612
-4611,323,"0x0143",2,-4611,84557169,"0x050A3D71",447392,-4611
-4610,325,"0x0145",2,-4610,85004562,"0x05111112",447393,-4610
-4609,326,"0x0146",1,-4609,85451954,"0x0517E4B2",447392,-4609
-4608,328,"0x0148",2,-4608,85899346,"0x051EB852",447392,-4608
-4607,330,"0x014A",2,-4607,86346739,"0x05258BF3",447393,-4607
-4606,332,"0x014C",2,-4606,86794131,"0x052C5F93",447392,-4606
-4605,333,"0x014D",1,-4605,87241524,"0x05333334",447393,-4605
-4604,335,"0x014F",2,-4604,87688916,"0x053A06D4",447392,-4604
-4603,337,"0x0151",2,-4603,88136309,"0x0540DA75",447393,-4603
-4602,338,"0x0152",1,-4602,88583701,"0x0547AE15",447392,-4602
-4601,340,"0x0154",2,-4601,89031093,"0x054E81B5",447392,-4601
-4600,342,"0x0156",2,-4600,89478486,"0x05555556",447393,-4600
-4599,344,"0x0158",2,-4598,89925878,"0x055C28F6",447392,-4599
-4598,345,"0x0159",1,-4598,90373271,"0x0562FC97",447393,-4598
-4597,347,"0x015B",2,-4597,90820663,"0x0569D037",447392,-4597
-4596,349,"0x015D",2,-4596,91268056,"0x0570A3D8",447393,-4595
-4595,350,"0x015E",1,-4595,91715448,"0x05777778",447392,-4595
-4594,352,"0x0160",2,-4594,92162840,"0x057E4B18",447392,-4594
-4593,354,"0x0162",2,-4593,92610233,"0x05851EB9",447393,-4593
-4592,355,"0x0163",1,-4592,93057625,"0x058BF259",447392,-4592
-4591,357,"0x0165",2,-4591,93505018,"0x0592C5FA",447393,-4591
-4590,359,"0x0167",2,-4590,93952410,"0x0599999A",447392,-4590
-4589,361,"0x0169",2,-4589,94399803,"0x05A06D3B",447393,-4588
-4588,362,"0x016A",1,-4588,94847195,"0x05A740DB",447392,-4588
-4587,364,"0x016C",2,-4587,95294587,"0x05AE147B",447392,-4587
-4586,366,"0x016E",2,-4586,95741980,"0x05B4E81C",447393,-4586
-4585,367,"0x016F",1,-4585,96189372,"0x05BBBBBC",447392,-4585
-4584,369,"0x0171",2,-4584,96636765,"0x05C28F5D",447393,-4584
-4583,371,"0x0173",2,-4583,97084157,"0x05C962FD",447392,-4583
-4582,373,"0x0175",2,-4582,97531550,"0x05D0369E",447393,-4581
-4581,374,"0x0176",1,-4581,97978942,"0x05D70A3E",447392,-4581
-4580,376,"0x0178",2,-4580,98426334,"0x05DDDDDE",447392,-4580
-4579,378,"0x017A",2,-4579,98873727,"0x05E4B17F",447393,-4579
-4578,379,"0x017B",1,-4578,99321119,"0x05EB851F",447392,-4578
-4577,381,"0x017D",2,-4577,99768512,"0x05F258C0",447393,-4577
-4576,383,"0x017F",2,-4576,100215904,"0x05F92C60",447392,-4576
-4575,384,"0x0180",1,-4575,100663296,"0x06000000",447392,-4575
-4574,386,"0x0182",2,-4574,101110689,"0x0606D3A1",447393,-4574
-4573,388,"0x0184",2,-4573,101558081,"0x060DA741",447392,-4573
-4572,390,"0x0186",2,-4572,102005474,"0x06147AE2",447393,-4572
-4571,391,"0x0187",1,-4571,102452866,"0x061B4E82",447392,-4571
-4570,393,"0x0189",2,-4570,102900259,"0x06222223",447393,-4570
-4569,395,"0x018B",2,-4569,103347651,"0x0628F5C3",447392,-4569
-4568,396,"0x018C",1,-4568,103795043,"0x062FC963",447392,-4568
-4567,398,"0x018E",2,-4567,104242436,"0x06369D04",447393,-4567
-4566,400,"0x0190",2,-4566,104689828,"0x063D70A4",447392,-4566
-4565,402,"0x0192",2,-4565,105137221,"0x06444445",447393,-4565
-4564,403,"0x0193",1,-4564,105584613,"0x064B17E5",447392,-4564
-4563,405,"0x0195",2,-4563,106032006,"0x0651EB86",447393,-4563
-4562,407,"0x0197",2,-4562,106479398,"0x0658BF26",447392,-4562
-4561,408,"0x0198",1,-4561,106926790,"0x065F92C6",447392,-4561
-4560,410,"0x019A",2,-4560,107374183,"0x06666667",447393,-4560
-4559,412,"0x019C",2,-4559,107821575,"0x066D3A07",447392,-4559
-4558,414,"0x019E",2,-4557,108268968,"0x06740DA8",447393,-4558
-4557,415,"0x019F",1,-4557,108716360,"0x067AE148",447392,-4557
-4556,417,"0x01A1",2,-4556,109163753,"0x0681B4E9",447393,-4556
-4555,419,"0x01A3",2,-4555,109611145,"0x06888889",447392,-4555
-4554,420,"0x01A4",1,-4554,110058537,"0x068F5C29",447392,-4554
-4553,422,"0x01A6",2,-4553,110505930,"0x06962FCA",447393,-4553
-4552,424,"0x01A8",2,-4552,110953322,"0x069D036A",447392,-4552
-4551,425,"0x01A9",1,-4551,111400715,"0x06A3D70B",447393,-4551
-4550,427,"0x01AB",2,-4550,111848107,"0x06AAAAAB",447392,-4550
-4549,429,"0x01AD",2,-4549,112295500,"0x06B17E4C",447393,-4549
-4548,431,"0x01AF",2,-4548,112742892,"0x06B851EC",447392,-4548
-4547,432,"0x01B0",1,-4547,113190284,"0x06BF258C",447392,-4547
-4546,434,"0x01B2",2,-4546,113637677,"0x06C5F92D",447393,-4546
-4545,436,"0x01B4",2,-4545,114085069,"0x06CCCCCD",447392,-4545
-4544,437,"0x01B5",1,-4544,114532462,"0x06D3A06E",447393,-4544
-4543,439,"0x01B7",2,-4543,114979854,"0x06DA740E",447392,-4543
-4542,441,"0x01B9",2,-4542,115427247,"0x06E147AF",447393,-4542
-4541,443,"0x01BB",2,-4540,115874639,"0x06E81B4F",447392,-4541
-4540,444,"0x01BC",1,-4540,116322031,"0x06EEEEEF",447392,-4540
-4539,446,"0x01BE",2,-4539,116769424,"0x06F5C290",447393,-4539
-4538,448,"0x01C0",2,-4538,117216816,"0x06FC9630",447392,-4538
-4537,449,"0x01C1",1,-4537,117664209,"0x070369D1",447393,-4537
-4536,451,"0x01C3",2,-4536,118111601,"0x070A3D71",447392,-4536
-4535,453,"0x01C5",2,-4535,118558994,"0x07111112",447393,-4535
-4534,454,"0x01C6",1,-4534,119006386,"0x0717E4B2",447392,-4534
-4533,456,"0x01C8",2,-4533,119453778,"0x071EB852",447392,-4533
-4532,458,"0x01CA",2,-4532,119901171,"0x07258BF3",447393,-4532
-4531,460,"0x01CC",2,-4531,120348563,"0x072C5F93",447392,-4531
-4530,461,"0x01CD",1,-4530,120795956,"0x07333334",447393,-4530
-4529,463,"0x01CF",2,-4529,121243348,"0x073A06D4",447392,-4529
-4528,465,"0x01D1",2,-4528,121690741,"0x0740DA75",447393,-4527
-4527,466,"0x01D2",1,-4527,122138133,"0x0747AE15",447392,-4527
-4526,468,"0x01D4",2,-4526,122585525,"0x074E81B5",447392,-4526
-4525,470,"0x01D6",2,-4525,123032918,"0x07555556",447393,-4525
-4524,472,"0x01D8",2,-4523,123480310,"0x075C28F6",447392,-4524
-4523,473,"0x01D9",1,-4523,123927703,"0x0762FC97",447393,-4523
-4522,475,"0x01DB",2,-4522,124375095,"0x0769D037",447392,-4522
-4521,477,"0x01DD",2,-4521,124822488,"0x0770A3D8",447393,-4520
-4520,478,"0x01DE",1,-4520,125269880,"0x07777778",447392,-4520
-4519,480,"0x01E0",2,-4519,125717272,"0x077E4B18",447392,-4519
-4518,482,"0x01E2",2,-4518,126164665,"0x07851EB9",447393,-4518
-4517,483,"0x01E3",1,-4517,126612057,"0x078BF259",447392,-4517
-4516,485,"0x01E5",2,-4516,127059450,"0x0792C5FA",447393,-4516
-4515,487,"0x01E7",2,-4515,127506842,"0x0799999A",447392,-4515
-4514,489,"0x01E9",2,-4514,127954235,"0x07A06D3B",447393,-4513
-4513,490,"0x01EA",1,-4513,128401627,"0x07A740DB",447392,-4513
-4512,492,"0x01EC",2,-4512,128849019,"0x07AE147B",447392,-4512
-4511,494,"0x01EE",2,-4511,129296412,"0x07B4E81C",447393,-4511
-4510,495,"0x01EF",1,-4510,129743804,"0x07BBBBBC",447392,-4510
-4509,497,"0x01F1",2,-4509,130191197,"0x07C28F5D",447393,-4509
-4508,499,"0x01F3",2,-4508,130638589,"0x07C962FD",447392,-4508
-4507,501,"0x01F5",2,-4506,131085982,"0x07D0369E",447393,-4506
-4506,502,"0x01F6",1,-4506,131533374,"0x07D70A3E",447392,-4506
-4505,504,"0x01F8",2,-4505,131980766,"0x07DDDDDE",447392,-4505
-4504,506,"0x01FA",2,-4504,132428159,"0x07E4B17F",447393,-4504
-4503,507,"0x01FB",1,-4503,132875551,"0x07EB851F",447392,-4503
-4502,509,"0x01FD",2,-4502,133322944,"0x07F258C0",447393,-4502
-4501,511,"0x01FF",2,-4501,133770336,"0x07F92C60",447392,-4501
-4500,512,"0x0200",1,-4500,134217728,"0x08000000",447392,-4500
-4499,514,"0x0202",2,-4499,134665121,"0x0806D3A1",447393,-4499
-4498,516,"0x0204",2,-4498,135112513,"0x080DA741",447392,-4498
-4497,518,"0x0206",2,-4497,135559906,"0x08147AE2",447393,-4497
-4496,519,"0x0207",1,-4496,136007298,"0x081B4E82",447392,-4496
-4495,521,"0x0209",2,-4495,136454691,"0x08222223",447393,-4495
-4494,523,"0x020B",2,-4494,136902083,"0x0828F5C3",447392,-4494
-4493,524,"0x020C",1,-4493,137349475,"0x082FC963",447392,-4493
-4492,526,"0x020E",2,-4492,137796868,"0x08369D04",447393,-4492
-4491,528,"0x0210",2,-4491,138244260,"0x083D70A4",447392,-4491
-4490,530,"0x0212",2,-4490,138691653,"0x08444445",447393,-4490
-4489,531,"0x0213",1,-4489,139139045,"0x084B17E5",447392,-4489
-4488,533,"0x0215",2,-4488,139586438,"0x0851EB86",447393,-4488
-4487,535,"0x0217",2,-4487,140033830,"0x0858BF26",447392,-4487
-4486,536,"0x0218",1,-4486,140481222,"0x085F92C6",447392,-4486
-4485,538,"0x021A",2,-4485,140928615,"0x08666667",447393,-4485
-4484,540,"0x021C",2,-4484,141376007,"0x086D3A07",447392,-4484
-4483,542,"0x021E",2,-4482,141823400,"0x08740DA8",447393,-4483
-4482,543,"0x021F",1,-4482,142270792,"0x087AE148",447392,-4482
-4481,545,"0x0221",2,-4481,142718185,"0x0881B4E9",447393,-4481
-4480,547,"0x0223",2,-4480,143165577,"0x08888889",447392,-4480
-4479,548,"0x0224",1,-4479,143612969,"0x088F5C29",447392,-4479
-4478,550,"0x0226",2,-4478,144060362,"0x08962FCA",447393,-4478
-4477,552,"0x0228",2,-4477,144507754,"0x089D036A",447392,-4477
-4476,553,"0x0229",1,-4476,144955147,"0x08A3D70B",447393,-4476
-4475,555,"0x022B",2,-4475,145402539,"0x08AAAAAB",447392,-4475
-4474,557,"0x022D",2,-4474,145849932,"0x08B17E4C",447393,-4474
-4473,559,"0x022F",2,-4473,146297324,"0x08B851EC",447392,-4473
-4472,560,"0x0230",1,-4472,146744716,"0x08BF258C",447392,-4472
-4471,562,"0x0232",2,-4471,147192109,"0x08C5F92D",447393,-4471
-4470,564,"0x0234",2,-4470,147639501,"0x08CCCCCD",447392,-4470
-4469,565,"0x0235",1,-4469,148086894,"0x08D3A06E",447393,-4469
-4468,567,"0x0237",2,-4468,148534286,"0x08DA740E",447392,-4468
-4467,569,"0x0239",2,-4467,148981679,"0x08E147AF",447393,-4467
-4466,571,"0x023B",2,-4465,149429071,"0x08E81B4F",447392,-4466
-4465,572,"0x023C",1,-4465,149876463,"0x08EEEEEF",447392,-4465
-4464,574,"0x023E",2,-4464,150323856,"0x08F5C290",447393,-4464
-4463,576,"0x0240",2,-4463,150771248,"0x08FC9630",447392,-4463
-4462,577,"0x0241",1,-4462,151218641,"0x090369D1",447393,-4462
-4461,579,"0x0243",2,-4461,151666033,"0x090A3D71",447392,-4461
-4460,581,"0x0245",2,-4460,152113426,"0x09111112",447393,-4459
-4459,582,"0x0246",1,-4459,152560818,"0x0917E4B2",447392,-4459
-4458,584,"0x0248",2,-4458,153008210,"0x091EB852",447392,-4458
-4457,586,"0x024A",2,-4457,153455603,"0x09258BF3",447393,-4457
-4456,588,"0x024C",2,-4456,153902995,"0x092C5F93",447392,-4456
-4455,589,"0x024D",1,-4455,154350388,"0x09333334",447393,-4455
-4454,591,"0x024F",2,-4454,154797780,"0x093A06D4",447392,-4454
-4453,593,"0x0251",2,-4453,155245173,"0x0940DA75",447393,-4452
-4452,594,"0x0252",1,-4452,155692565,"0x0947AE15",447392,-4452
-4451,596,"0x0254",2,-4451,156139957,"0x094E81B5",447392,-4451
-4450,598,"0x0256",2,-4450,156587350,"0x09555556",447393,-4450
-4449,600,"0x0258",2,-4448,157034742,"0x095C28F6",447392,-4449
-4448,601,"0x0259",1,-4448,157482135,"0x0962FC97",447393,-4448
-4447,603,"0x025B",2,-4447,157929527,"0x0969D037",447392,-4447
-4446,605,"0x025D",2,-4446,158376920,"0x0970A3D8",447393,-4445
-4445,606,"0x025E",1,-4445,158824312,"0x09777778",447392,-4445
-4444,608,"0x0260",2,-4444,159271704,"0x097E4B18",447392,-4444
-4443,610,"0x0262",2,-4443,159719097,"0x09851EB9",447393,-4443
-4442,611,"0x0263",1,-4442,160166489,"0x098BF259",447392,-4442
-4441,613,"0x0265",2,-4441,160613882,"0x0992C5FA",447393,-4441
