Pitch Offset,Pitch Bend,Pitch Bend Hex,Delta Pitch Bend,Linear Pitch Offset,Linear Pitch Offset Delta,Piecewise Pitch Offset,Piecewise Pitch Offset Delta
-6251,2858,"0x0B2A",1,-6251.544,0.544,-6250.781,-0.219
-6250,2859,"0x0B2B",1,-6250.372,0.372,-6249.609,-0.391
-6249,2860,"0x0B2C",1,-6249.200,0.200,-6248.438,-0.563
-6248,2861,"0x0B2D",1,-6248.028,0.028,-6247.266,-0.734
-6247,2862,"0x0B2E",1,-6246.856,-0.144,-6246.094,-0.906
-6246,2863,"0x0B2F",1,-6245.684,-0.316,-6244.922,-1.078
-6245,2863,"0x0B2F",0,-6245.684,0.684,-6244.922,-0.078
-6244,2864,"0x0B30",1,-6244.512,0.512,-6243.750,-0.250
-6243,2865,"0x0B31",1,-6243.340,0.340,-6242.578,-0.422
-6242,2866,"0x0B32",1,-6242.168,0.168,-6241.406,-0.594
-6241,2867,"0x0B33",1,-6240.996,-0.004,-6240.234,-0.766
-6240,2868,"0x0B34",1,-6239.824,-0.176,-6239.063,-0.938
-6239,2869,"0x0B35",1,-6238.652,-0.348,-6237.891,-1.109
-6238,2869,"0x0B35",0,-6238.652,0.652,-6237.891,-0.109
-6237,2870,"0x0B36",1,-6237.480,0.480,-6236.719,-0.281
-6236,2871,"0x0B37",1,-6236.308,0.308,-6235.547,-0.453
-6235,2872,"0x0B38",1,-6235.136,0.136,-6234.375,-0.625
-6234,2873,"0x0B39",1,-6233.964,-0.036,-6233.203,-0.797
-6233,2874,"0x0B3A",1,-6232.792,-0.208,-6232.031,-0.969
-6232,2875,"0x0B3B",1,-6231.620,-0.380,-6230.859,-1.141
-6231,2875,"0x0B3B",0,-6231.620,0.620,-6230.859,-0.141
-6230,2876,"0x0B3C",1,-6230.448,0.448,-6229.688,-0.313
-6229,2877,"0x0B3D",1,-6229.276,0.276,-6228.516,-0.484
-6228,2878,"0x0B3E",1,-6228.104,0.104,-6227.344,-0.656
-6227,2879,"0x0B3F",1,-6226.932,-0.068,-6226.172,-0.828
-6226,2880,"0x0B40",1,-6225.760,-0.240,-6225.000,-1.000
-6225,2880,"0x0B40",0,-6225.760,0.760,-6225.000,0.000
-6224,2881,"0x0B41",1,-6224.588,0.588,-6223.828,-0.172
-6223,2882,"0x0B42",1,-6223.416,0.416,-6222.656,-0.344
-6222,2883,"0x0B43",1,-6222.244,0.244,-6221.484,-0.516
-6221,2884,"0x0B44",1,-6221.072,0.072,-6220.313,-0.688
-6220,2885,"0x0B45",1,-6219.900,-0.100,-6219.141,-0.859
-6219,2886,"0x0B46",1,-6218.728,-0.272,-6217.969,-1.031
-6218,2886,"0x0B46",0,-6218.728,0.728,-6217.969,-0.031
-6217,2887,"0x0B47",1,-6217.556,0.556,-6216.797,-0.203
-6216,2888,"0x0B48",1,-6216.384,0.384,-6215.625,-0.375
-6215,2889,"0x0B49",1,-6215.212,0.212,-6214.453,-0.547
-6214,2890,"0x0B4A",1,-6214.040,0.040,-6213.281,-0.719
-6213,2891,"0x0B4B",1,-6212.868,-0.132,-6212.109,-0.891
-6212,2892,"0x0B4C",1,-6211.696,-0.304,-6210.938,-1.063
-6211,2892,"0x0B4C",0,-6211.696,0.696,-6210.938,-0.063
-6210,2893,"0x0B4D",1,-6210.524,0.524,-6209.766,-0.234
-6209,2894,"0x0B4E",1,-6209.352,0.352,-6208.594,-0.406
-6208,2895,"0x0B4F",1,-6208.180,0.180,-6207.422,-0.578
-6207,2896,"0x0B50",1,-6207.008,0.008,-6206.250,-0.750
-6206,2897,"0x0B51",1,-6205.836,-0.164,-6205.078,-0.922
-6205,2898,"0x0B52",1,-6204.664,-0.336,-6203.906,-1.094
-6204,2898,"0x0B52",0,-6204.664,0.664,-6203.906,-0.094
-6203,2899,"0x0B53",1,-6203.492,0.492,-6202.734,-0.266
-6202,2900,"0x0B54",1,-6202.320,0.320,-6201.563,-0.438
-6201,2901,"0x0B55",1,-6201.148,0.148,-6200.391,-0.609
-6200,2902,"0x0B56",1,-6199.976,-0.024,-6199.219,-0.781
-6199,2903,"0x0B57",1,-6198.804,-0.196,-6198.047,-0.953
-6198,2904,"0x0B58",1,-6197.632,-0.368,-6196.875,-1.125
-6197,2904,"0x0B58",0,-6197.632,0.632,-6196.875,-0.125
-6196,2905,"0x0B59",1,-6196.460,0.460,-6195.703,-0.297
-6195,2906,"0x0B5A",1,-6195.288,0.288,-6194.531,-0.469
-6194,2907,"0x0B5B",1,-6194.115,0.115,-6193.359,-0.641
-6193,2908,"0x0B5C",1,-6192.943,-0.057,-6192.188,-0.813
-6192,2909,"0x0B5D",1,-6191.771,-0.229,-6191.016,-0.984
-6191,2910,"0x0B5E",1,-6190.599,-0.401,-6189.844,-1.156
-6190,2910,"0x0B5E",0,-6190.599,0.599,-6189.844,-0.156
-6189,2911,"0x0B5F",1,-6189.427,0.427,-6188.672,-0.328
-6188,2912,"0x0B60",1,-6188.255,0.255,-6187.500,-0.500
-6187,2913,"0x0B61",1,-6187.083,0.083,-6186.328,-0.672
-6186,2914,"0x0B62",1,-6185.911,-0.089,-6185.156,-0.844
-6185,2915,"0x0B63",1,-6184.739,-0.261,-6183.984,-1.016
-6184,2915,"0x0B63",0,-6184.739,0.739,-6183.984,-0.016
-6183,2916,"0x0B64",1,-6183.567,0.567,-6182.813,-0.188
-6182,2917,"0x0B65",1,-6182.395,0.395,-6181.641,-0.359
-6181,2918,"0x0B66",1,-6181.223,0.223,-6180.469,-0.531
-6180,2919,"0x0B67",1,-6180.051,0.051,-6179.297,-0.703
-6179,2920,"0x0B68",1,-6178.879,-0.121,-6178.125,-0.875
-6178,2921,"0x0B69",1,-6177.707,-0.293,-6176.953,-1.047
-6177,2921,"0x0B69",0,-6177.707,0.707,-6176.953,-0.047
-6176,2922,"0x0B6A",1,-6176.535,0.535,-6175.781,-0.219
