Pitch Offset in HCU,PB MIDI1,PB Hex MIDI2,Delta PB MIDI1,Pitch Offset from MIDI1,PB MIDI2,PB Hex MIDI2,Delta PB MIDI2,Pitch Offset from MIDI2
-1085,786,"0x0312",7,-1084,205800517,"0x0C444445",1789570,-1085
-1084,792,"0x0318",6,-1084,207590086,"0x0C5F92C6",1789569,-1084
-1083,799,"0x031F",7,-1083,209379656,"0x0C7AE148",1789570,-1083
-1082,806,"0x0326",7,-1082,211169226,"0x0C962FCA",1789570,-1082
-1081,813,"0x032D",7,-1081,212958796,"0x0CB17E4C",1789570,-1080
-1080,820,"0x0334",7,-1080,214748365,"0x0CCCCCCD",1789569,-1080
-1079,827,"0x033B",7,-1078,216537935,"0x0CE81B4F",1789570,-1079
-1078,833,"0x0341",6,-1078,218327505,"0x0D0369D1",1789570,-1078
-1077,840,"0x0348",7,-1077,220117074,"0x0D1EB852",1789569,-1077
-1076,847,"0x034F",7,-1076,221906644,"0x0D3A06D4",1789570,-1076
-1075,854,"0x0356",7,-1075,223696214,"0x0D555556",1789570,-1075
-1074,861,"0x035D",7,-1074,225485784,"0x0D70A3D8",1789570,-1073
-1073,867,"0x0363",6,-1073,227275353,"0x0D8BF259",1789569,-1073
-1072,874,"0x036A",7,-1072,229064923,"0x0DA740DB",1789570,-1072
-1071,881,"0x0371",7,-1071,230854493,"0x0DC28F5D",1789570,-1071
-1070,888,"0x0378",7,-1070,232644062,"0x0DDDDDDE",1789569,-1070
-1069,895,"0x037F",7,-1069,234433632,"0x0DF92C60",1789570,-1069
-1068,902,"0x0386",7,-1068,236223202,"0x0E147AE2",1789570,-1068
-1067,908,"0x038C",6,-1067,238012771,"0x0E2FC963",1789569,-1067
-1066,915,"0x0393",7,-1066,239802341,"0x0E4B17E5",1789570,-1066
-1065,922,"0x039A",7,-1065,241591911,"0x0E666667",1789570,-1065
-1064,929,"0x03A1",7,-1064,243381481,"0x0E81B4E9",1789570,-1063
-1063,936,"0x03A8",7,-1063,245171050,"0x0E9D036A",1789569,-1063
-1062,943,"0x03AF",7,-1061,246960620,"0x0EB851EC",1789570,-1062
-1061,949,"0x03B5",6,-1061,248750190,"0x0ED3A06E",1789570,-1061
-1060,956,"0x03BC",7,-1060,250539759,"0x0EEEEEEF",1789569,-1060
-1059,963,"0x03C3",7,-1059,252329329,"0x0F0A3D71",1789570,-1059
-1058,970,"0x03CA",7,-1058,254118899,"0x0F258BF3",1789570,-1058
-1057,977,"0x03D1",7,-1057,255908469,"0x0F40DA75",1789570,-1056
-1056,984,"0x03D8",7,-1055,257698038,"0x0F5C28F6",1789569,-1056
-1055,990,"0x03DE",6,-1055,259487608,"0x0F777778",1789570,-1055
-1054,997,"0x03E5",7,-1054,261277178,"0x0F92C5FA",1789570,-1054
-1053,1004,"0x03EC",7,-1053,263066747,"0x0FAE147B",1789569,-1053
-1052,1011,"0x03F3",7,-1052,264856317,"0x0FC962FD",1789570,-1052
-1051,1018,"0x03FA",7,-1051,266645887,"0x0FE4B17F",1789570,-1051
-1050,1024,"0x0400",6,-1050,268435456,"0x10000000",1789569,-1050
-1049,1031,"0x0407",7,-1049,270225026,"0x101B4E82",1789570,-1049
-1048,1038,"0x040E",7,-1048,272014596,"0x10369D04",1789570,-1048
-1047,1045,"0x0415",7,-1047,273804166,"0x1051EB86",1789570,-1046
-1046,1052,"0x041C",7,-1046,275593735,"0x106D3A07",1789569,-1046
-1045,1059,"0x0423",7,-1045,277383305,"0x10888889",1789570,-1045
-1044,1065,"0x0429",6,-1044,279172875,"0x10A3D70B",1789570,-1044
-1043,1072,"0x0430",7,-1043,280962444,"0x10BF258C",1789569,-1043
-1042,1079,"0x0437",7,-1042,282752014,"0x10DA740E",1789570,-1042
-1041,1086,"0x043E",7,-1041,284541584,"0x10F5C290",1789570,-1041
-1040,1093,"0x0445",7,-1040,286331154,"0x11111112",1789570,-1039
-1039,1100,"0x044C",7,-1038,288120723,"0x112C5F93",1789569,-1039
-1038,1106,"0x0452",6,-1038,289910293,"0x1147AE15",1789570,-1038
-1037,1113,"0x0459",7,-1037,291699863,"0x1162FC97",1789570,-1037
-1036,1120,"0x0460",7,-1036,293489432,"0x117E4B18",1789569,-1036
-1035,1127,"0x0467",7,-1035,295279002,"0x1199999A",1789570,-1035
-1034,1134,"0x046E",7,-1034,297068572,"0x11B4E81C",1789570,-1034
-1033,1141,"0x0475",7,-1032,298858142,"0x11D0369E",1789570,-1032
-1032,1147,"0x047B",6,-1032,300647711,"0x11EB851F",1789569,-1032
-1031,1154,"0x0482",7,-1031,302437281,"0x1206D3A1",1789570,-1031
-1030,1161,"0x0489",7,-1030,304226851,"0x12222223",1789570,-1029
-1029,1168,"0x0490",7,-1029,306016420,"0x123D70A4",1789569,-1029
-1028,1175,"0x0497",7,-1028,307805990,"0x1258BF26",1789570,-1028
-1027,1182,"0x049E",7,-1026,309595560,"0x12740DA8",1789570,-1027
-1026,1188,"0x04A4",6,-1026,311385129,"0x128F5C29",1789569,-1026
-1025,1195,"0x04AB",7,-1025,313174699,"0x12AAAAAB",1789570,-1025
-1024,1202,"0x04B2",7,-1024,314964269,"0x12C5F92D",1789570,-1024
-1023,1209,"0x04B9",7,-1023,316753839,"0x12E147AF",1789570,-1022
-1022,1216,"0x04C0",7,-1021,318543408,"0x12FC9630",1789569,-1022
-1021,1222,"0x04C6",6,-1021,320332978,"0x1317E4B2",1789570,-1021
-1020,1229,"0x04CD",7,-1020,322122548,"0x13333334",1789570,-1020
-1019,1236,"0x04D4",7,-1019,323912117,"0x134E81B5",1789569,-1019
-1018,1243,"0x04DB",7,-1018,325701687,"0x1369D037",1789570,-1018
-1017,1250,"0x04E2",7,-1017,327491257,"0x13851EB9",1789570,-1017
-1016,1257,"0x04E9",7,-1015,329280827,"0x13A06D3B",1789570,-1015
-1015,1263,"0x04EF",6,-1015,331070396,"0x13BBBBBC",1789569,-1015
-1014,1270,"0x04F6",7,-1014,332859966,"0x13D70A3E",1789570,-1014
-1013,1277,"0x04FD",7,-1013,334649536,"0x13F258C0",1789570,-1012
-1012,1284,"0x0504",7,-1012,336439105,"0x140DA741",1789569,-1012
-1011,1291,"0x050B",7,-1011,338228675,"0x1428F5C3",1789570,-1011
-1010,1298,"0x0512",7,-1009,340018245,"0x14444445",1789570,-1010
-1009,1304,"0x0518",6,-1009,341807814,"0x145F92C6",1789569,-1009
-1008,1311,"0x051F",7,-1008,343597384,"0x147AE148",1789570,-1008
-1007,1318,"0x0526",7,-1007,345386954,"0x14962FCA",1789570,-1007
-1006,1325,"0x052D",7,-1006,347176524,"0x14B17E4C",1789570,-1005
-1005,1332,"0x0534",7,-1005,348966093,"0x14CCCCCD",1789569,-1005
-1004,1339,"0x053B",7,-1003,350755663,"0x14E81B4F",1789570,-1004
-1003,1345,"0x0541",6,-1003,352545233,"0x150369D1",1789570,-1003
-1002,1352,"0x0548",7,-1002,354334802,"0x151EB852",1789569,-1002
-1001,1359,"0x054F",7,-1001,356124372,"0x153A06D4",1789570,-1001
-1000,1366,"0x0556",7,-1000,357913942,"0x15555556",1789570,-1000
-999,1373,"0x055D",7,-998,359703512,"0x1570A3D8",1789570,-998
-998,1379,"0x0563",6,-998,361493081,"0x158BF259",1789569,-998
-997,1386,"0x056A",7,-997,363282651,"0x15A740DB",1789570,-997
-996,1393,"0x0571",7,-996,365072221,"0x15C28F5D",1789570,-995
-995,1400,"0x0578",7,-995,366861790,"0x15DDDDDE",1789569,-995
-994,1407,"0x057F",7,-994,368651360,"0x15F92C60",1789570,-994
-993,1414,"0x0586",7,-992,370440930,"0x16147AE2",1789570,-993
-992,1420,"0x058C",6,-992,372230499,"0x162FC963",1789569,-992
-991,1427,"0x0593",7,-991,374020069,"0x164B17E5",1789570,-991
-990,1434,"0x059A",7,-990,375809639,"0x16666667",1789570,-990
-989,1441,"0x05A1",7,-989,377599209,"0x1681B4E9",1789570,-988
-988,1448,"0x05A8",7,-988,379388778,"0x169D036A",1789569,-988
-987,1455,"0x05AF",7,-986,381178348,"0x16B851EC",1789570,-987
-986,1461,"0x05B5",6,-986,382967918,"0x16D3A06E",1789570,-986
-985,1468,"0x05BC",7,-985,384757487,"0x16EEEEEF",1789569,-985
-984,1475,"0x05C3",7,-984,386547057,"0x170A3D71",1789570,-984
-983,1482,"0x05CA",7,-983,388336627,"0x17258BF3",1789570,-983
-982,1489,"0x05D1",7,-982,390126197,"0x1740DA75",1789570,-981
-981,1496,"0x05D8",7,-980,391915766,"0x175C28F6",1789569,-981
-980,1502,"0x05DE",6,-980,393705336,"0x17777778",1789570,-980
-979,1509,"0x05E5",7,-979,395494906,"0x1792C5FA",1789570,-978
-978,1516,"0x05EC",7,-978,397284475,"0x17AE147B",1789569,-978
-977,1523,"0x05F3",7,-977,399074045,"0x17C962FD",1789570,-977
-976,1530,"0x05FA",7,-975,400863615,"0x17E4B17F",1789570,-976
-975,1536,"0x0600",6,-975,402653184,"0x18000000",1789569,-975
-974,1543,"0x0607",7,-974,404442754,"0x181B4E82",1789570,-974
-973,1550,"0x060E",7,-973,406232324,"0x18369D04",1789570,-973
-972,1557,"0x0615",7,-972,408021894,"0x1851EB86",1789570,-971
-971,1564,"0x061C",7,-971,409811463,"0x186D3A07",1789569,-971
-970,1571,"0x0623",7,-969,411601033,"0x18888889",1789570,-970
-969,1577,"0x0629",6,-969,413390603,"0x18A3D70B",1789570,-969
-968,1584,"0x0630",7,-968,415180172,"0x18BF258C",1789569,-968
-967,1591,"0x0637",7,-967,416969742,"0x18DA740E",1789570,-967
-966,1598,"0x063E",7,-966,418759312,"0x18F5C290",1789570,-966
-965,1605,"0x0645",7,-965,420548882,"0x19111112",1789570,-964
-964,1612,"0x064C",7,-963,422338451,"0x192C5F93",1789569,-964
-963,1618,"0x0652",6,-963,424128021,"0x1947AE15",1789570,-963
-962,1625,"0x0659",7,-962,425917591,"0x1962FC97",1789570,-961
-961,1632,"0x0660",7,-961,427707160,"0x197E4B18",1789569,-961
-960,1639,"0x0667",7,-960,429496730,"0x1999999A",1789570,-960
-959,1646,"0x066E",7,-959,431286300,"0x19B4E81C",1789570,-959
-958,1653,"0x0675",7,-957,433075870,"0x19D0369E",1789570,-957
-957,1659,"0x067B",6,-957,434865439,"0x19EB851F",1789569,-957
-956,1666,"0x0682",7,-956,436655009,"0x1A06D3A1",1789570,-956
-955,1673,"0x0689",7,-955,438444579,"0x1A222223",1789570,-954
-954,1680,"0x0690",7,-954,440234148,"0x1A3D70A4",1789569,-954
-953,1687,"0x0697",7,-952,442023718,"0x1A58BF26",1789570,-953
-952,1694,"0x069E",7,-951,443813288,"0x1A740DA8",1789570,-952
-951,1700,"0x06A4",6,-951,445602857,"0x1A8F5C29",1789569,-951
-950,1707,"0x06AB",7,-950,447392427,"0x1AAAAAAB",1789570,-950
-949,1714,"0x06B2",7,-949,449181997,"0x1AC5F92D",1789570,-949
-948,1721,"0x06B9",7,-948,450971567,"0x1AE147AF",1789570,-947
-947,1728,"0x06C0",7,-946,452761136,"0x1AFC9630",1789569,-947
-946,1734,"0x06C6",6,-946,454550706,"0x1B17E4B2",1789570,-946
-945,1741,"0x06CD",7,-945,456340276,"0x1B333334",1789570,-944
-944,1748,"0x06D4",7,-944,458129845,"0x1B4E81B5",1789569,-944
-943,1755,"0x06DB",7,-943,459919415,"0x1B69D037",1789570,-943
-942,1762,"0x06E2",7,-942,461708985,"0x1B851EB9",1789570,-942
-941,1769,"0x06E9",7,-940,463498555,"0x1BA06D3B",1789570,-940
-940,1775,"0x06EF",6,-940,465288124,"0x1BBBBBBC",1789569,-940
-939,1782,"0x06F6",7,-939,467077694,"0x1BD70A3E",1789570,-939
-938,1789,"0x06FD",7,-938,468867264,"0x1BF258C0",1789570,-937
-937,1796,"0x0704",7,-937,470656833,"0x1C0DA741",1789569,-937
-936,1803,"0x070B",7,-936,472446403,"0x1C28F5C3",1789570,-936
-935,1810,"0x0712",7,-934,474235973,"0x1C444445",1789570,-935
-934,1816,"0x0718",6,-934,476025542,"0x1C5F92C6",1789569,-934
-933,1823,"0x071F",7,-933,477815112,"0x1C7AE148",1789570,-933
-932,1830,"0x0726",7,-932,479604682,"0x1C962FCA",1789570,-932
-931,1837,"0x072D",7,-931,481394252,"0x1CB17E4C",1789570,-930
-930,1844,"0x0734",7,-929,483183821,"0x1CCCCCCD",1789569,-930
-929,1851,"0x073B",7,-928,484973391,"0x1CE81B4F",1789570,-929
-928,1857,"0x0741",6,-928,486762961,"0x1D0369D1",1789570,-927
-927,1864,"0x0748",7,-927,488552530,"0x1D1EB852",1789569,-927
-926,1871,"0x074F",7,-926,490342100,"0x1D3A06D4",1789570,-926
-925,1878,"0x0756",7,-925,492131670,"0x1D555556",1789570,-925
-924,1885,"0x075D",7,-923,493921240,"0x1D70A3D8",1789570,-923
-923,1891,"0x0763",6,-923,495710809,"0x1D8BF259",1789569,-923
-922,1898,"0x076A",7,-922,497500379,"0x1DA740DB",1789570,-922
-921,1905,"0x0771",7,-921,499289949,"0x1DC28F5D",1789570,-920
-920,1912,"0x0778",7,-920,501079518,"0x1DDDDDDE",1789569,-920
-919,1919,"0x077F",7,-919,502869088,"0x1DF92C60",1789570,-919
-918,1926,"0x0786",7,-917,504658658,"0x1E147AE2",1789570,-918
-917,1932,"0x078C",6,-917,506448227,"0x1E2FC963",1789569,-917
-916,1939,"0x0793",7,-916,508237797,"0x1E4B17E5",1789570,-916
-915,1946,"0x079A",7,-915,510027367,"0x1E666667",1789570,-915
-914,1953,"0x07A1",7,-914,511816937,"0x1E81B4E9",1789570,-913
-913,1960,"0x07A8",7,-913,513606506,"0x1E9D036A",1789569,-913
-912,1967,"0x07AF",7,-911,515396076,"0x1EB851EC",1789570,-912
-911,1973,"0x07B5",6,-911,517185646,"0x1ED3A06E",1789570,-910
-910,1980,"0x07BC",7,-910,518975215,"0x1EEEEEEF",1789569,-910
-909,1987,"0x07C3",7,-909,520764785,"0x1F0A3D71",1789570,-909
-908,1994,"0x07CA",7,-908,522554355,"0x1F258BF3",1789570,-908
-907,2001,"0x07D1",7,-906,524343925,"0x1F40DA75",1789570,-906
-906,2008,"0x07D8",7,-905,526133494,"0x1F5C28F6",1789569,-906
-905,2014,"0x07DE",6,-905,527923064,"0x1F777778",1789570,-905
-904,2021,"0x07E5",7,-904,529712634,"0x1F92C5FA",1789570,-903
-903,2028,"0x07EC",7,-903,531502203,"0x1FAE147B",1789569,-903
-902,2035,"0x07F3",7,-902,533291773,"0x1FC962FD",1789570,-902
-901,2042,"0x07FA",7,-900,535081343,"0x1FE4B17F",1789570,-901
-900,2048,"0x0800",6,-900,536870912,"0x20000000",1789569,-900
-899,2055,"0x0807",7,-899,538660482,"0x201B4E82",1789570,-899
-898,2062,"0x080E",7,-898,540450052,"0x20369D04",1789570,-898
-897,2069,"0x0815",7,-897,542239622,"0x2051EB86",1789570,-896
-896,2076,"0x081C",7,-896,544029191,"0x206D3A07",1789569,-896
-895,2083,"0x0823",7,-894,545818761,"0x20888889",1789570,-895
-894,2089,"0x0829",6,-894,547608331,"0x20A3D70B",1789570,-893
-893,2096,"0x0830",7,-893,549397900,"0x20BF258C",1789569,-893
-892,2103,"0x0837",7,-892,551187470,"0x20DA740E",1789570,-892
-891,2110,"0x083E",7,-891,552977040,"0x20F5C290",1789570,-891
-890,2117,"0x0845",7,-890,554766610,"0x21111112",1789570,-889
-889,2124,"0x084C",7,-888,556556179,"0x212C5F93",1789569,-889
-888,2130,"0x0852",6,-888,558345749,"0x2147AE15",1789570,-888
-887,2137,"0x0859",7,-887,560135319,"0x2162FC97",1789570,-886
-886,2144,"0x0860",7,-886,561924888,"0x217E4B18",1789569,-886
-885,2151,"0x0867",7,-885,563714458,"0x2199999A",1789570,-885
-884,2158,"0x086E",7,-883,565504028,"0x21B4E81C",1789570,-884
-883,2165,"0x0875",7,-882,567293598,"0x21D0369E",1789570,-882
-882,2171,"0x087B",6,-882,569083167,"0x21EB851F",1789569,-882
-881,2178,"0x0882",7,-881,570872737,"0x2206D3A1",1789570,-881
-880,2185,"0x0889",7,-880,572662307,"0x22222223",1789570,-879
-879,2192,"0x0890",7,-879,574451876,"0x223D70A4",1789569,-879
-878,2199,"0x0897",7,-877,576241446,"0x2258BF26",1789570,-878
-877,2206,"0x089E",7,-876,578031016,"0x22740DA8",1789570,-876
-876,2212,"0x08A4",6,-876,579820585,"0x228F5C29",1789569,-876
-875,2219,"0x08AB",7,-875,581610155,"0x22AAAAAB",1789570,-875
-874,2226,"0x08B2",7,-874,583399725,"0x22C5F92D",1789570,-874
-873,2233,"0x08B9",7,-873,585189295,"0x22E147AF",1789570,-872
-872,2240,"0x08C0",7,-871,586978864,"0x22FC9630",1789569,-872
-871,2246,"0x08C6",6,-871,588768434,"0x2317E4B2",1789570,-871
-870,2253,"0x08CD",7,-870,590558004,"0x23333334",1789570,-869
-869,2260,"0x08D4",7,-869,592347573,"0x234E81B5",1789569,-869
-868,2267,"0x08DB",7,-868,594137143,"0x2369D037",1789570,-868
-867,2274,"0x08E2",7,-867,595926713,"0x23851EB9",1789570,-867
-866,2281,"0x08E9",7,-865,597716283,"0x23A06D3B",1789570,-865
-865,2287,"0x08EF",6,-865,599505852,"0x23BBBBBC",1789569,-865
-864,2294,"0x08F6",7,-864,601295422,"0x23D70A3E",1789570,-864
-863,2301,"0x08FD",7,-863,603084992,"0x23F258C0",1789570,-862
-862,2308,"0x0904",7,-862,604874561,"0x240DA741",1789569,-862
-861,2315,"0x090B",7,-860,606664131,"0x2428F5C3",1789570,-861
-860,2322,"0x0912",7,-859,608453701,"0x24444445",1789570,-859
-859,2328,"0x0918",6,-859,610243270,"0x245F92C6",1789569,-859
-858,2335,"0x091F",7,-858,612032840,"0x247AE148",1789570,-858
-857,2342,"0x0926",7,-857,613822410,"0x24962FCA",1789570,-857
-856,2349,"0x092D",7,-856,615611980,"0x24B17E4C",1789570,-855
-855,2356,"0x0934",7,-854,617401549,"0x24CCCCCD",1789569,-855
-854,2363,"0x093B",7,-853,619191119,"0x24E81B4F",1789570,-854
-853,2369,"0x0941",6,-853,620980689,"0x250369D1",1789570,-852
-852,2376,"0x0948",7,-852,622770258,"0x251EB852",1789569,-852
-851,2383,"0x094F",7,-851,624559828,"0x253A06D4",1789570,-851
-850,2390,"0x0956",7,-850,626349398,"0x25555556",1789570,-850
